age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
58,blue-collar,married,4,1,1,0,may,wed,74,2,999,2,failure,-1.8,92.893,-46.2,1.334,5099.1,0
32,unemployed,married,16,0,0,0,nov,tue,329,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
30,technician,single,17,1,0,0,aug,wed,225,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
33,management,single,16,0,0,0,may,thu,228,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
42,technician,divorced,16,1,0,1,may,fri,46,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
34,admin.,married,16,1,0,0,may,mon,185,1,2,1,success,-1.8,92.893,-46.2,1.264,5099.1,0
50,admin.,single,16,1,0,0,aug,wed,88,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
52,admin.,married,12,1,0,0,nov,fri,139,2,999,1,failure,-0.1,93.2,-42,4.021,5195.8,0
25,services,married,12,0,0,0,jul,tue,329,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
29,technician,married,16,1,0,0,apr,mon,116,2,999,0,nonexistent,-1.8,93.749,-34.6,0.645,5008.7,0
28,admin.,single,12,1,0,0,jul,thu,80,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
42,admin.,divorced,12,1,0,1,nov,mon,124,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
42,admin.,married,12,0,1,0,jul,mon,417,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
45,services,married,12,1,0,1,may,wed,349,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
47,blue-collar,married,6,0,0,0,aug,tue,56,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
24,services,single,9,1,0,0,jul,wed,73,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
45,unemployed,married,9,1,0,0,aug,wed,68,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
58,blue-collar,married,4,1,0,0,jul,mon,86,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
30,admin.,married,16,0,0,0,aug,mon,180,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
45,admin.,single,12,0,0,0,may,wed,537,5,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
49,blue-collar,divorced,12,0,0,1,nov,mon,192,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
33,unemployed,married,12,1,1,0,jul,wed,285,8,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
31,blue-collar,married,6,0,0,1,jun,wed,62,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
36,technician,married,16,0,0,1,may,tue,309,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
29,admin.,married,16,1,0,0,aug,fri,63,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
35,admin.,married,12,1,0,1,may,fri,162,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
37,admin.,single,16,0,0,0,aug,fri,62,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0
73,retired,divorced,4,1,0,0,aug,tue,273,2,999,1,failure,-1.7,94.027,-38.3,0.904,4991.6,0
53,blue-collar,married,4,0,0,0,aug,wed,165,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
24,services,single,12,1,1,0,may,mon,590,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
50,technician,married,17,1,1,0,aug,thu,870,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
47,blue-collar,married,6,1,0,0,may,mon,208,4,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0
29,admin.,single,16,1,1,0,may,tue,76,1,999,2,failure,-1.8,92.893,-46.2,1.344,5099.1,0
32,blue-collar,married,6,1,0,1,jul,fri,133,1,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0
43,blue-collar,single,4,0,0,1,may,wed,21,10,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
55,blue-collar,married,4,0,0,1,jun,wed,345,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
36,blue-collar,married,6,1,1,0,may,wed,10,9,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
45,admin.,divorced,16,1,0,0,jul,thu,1673,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
49,admin.,married,6,0,1,1,may,thu,29,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
35,student,single,12,1,0,1,may,fri,160,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
33,services,married,12,1,1,0,may,wed,323,2,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0
43,technician,married,17,0,0,1,jun,thu,112,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
34,admin.,single,16,0,1,0,aug,mon,230,3,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,0
59,blue-collar,married,9,1,0,0,apr,thu,177,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0
56,admin.,married,9,1,0,1,may,mon,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
43,blue-collar,married,9,0,0,1,jun,wed,793,3,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
40,technician,married,17,0,0,1,jun,mon,21,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
29,management,single,16,1,0,0,mar,mon,154,2,999,1,failure,-1.8,93.369,-34.8,0.652,5008.7,0
36,admin.,married,16,0,0,0,jul,thu,674,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
24,self-employed,single,16,0,0,0,may,thu,334,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
38,management,single,16,0,0,0,may,wed,123,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,0
43,retired,married,4,1,0,1,jun,mon,129,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0
45,blue-collar,married,6,0,1,0,jul,thu,92,4,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
38,admin.,married,16,0,0,0,aug,tue,122,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
30,management,married,12,0,0,0,aug,mon,65,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
44,admin.,married,12,1,0,0,jul,mon,242,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
34,admin.,single,16,0,0,1,aug,wed,127,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33,admin.,married,17,0,0,1,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
30,technician,married,12,0,0,0,aug,tue,79,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
30,services,married,12,0,0,1,may,fri,147,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
27,student,single,16,0,1,1,jun,thu,137,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0
55,housemaid,single,16,1,0,1,aug,tue,11,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,0
38,technician,married,17,1,0,0,jul,mon,185,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
28,student,single,12,1,1,1,jun,wed,604,6,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0
51,blue-collar,married,4,0,0,0,may,wed,254,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
37,admin.,single,16,0,1,0,jul,tue,133,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
45,blue-collar,married,4,0,0,0,jul,fri,194,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
39,admin.,single,12,0,1,1,jun,mon,158,1,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,0
29,services,divorced,12,0,0,0,may,tue,259,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,0
33,admin.,single,12,0,0,0,may,wed,341,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0
36,technician,single,17,0,1,0,aug,fri,66,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
41,technician,married,17,0,0,0,aug,tue,269,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
51,admin.,married,12,1,0,0,nov,tue,280,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,0
43,blue-collar,single,6,1,0,0,jul,thu,391,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
35,management,married,16,0,0,0,may,thu,437,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
49,blue-collar,married,4,1,0,0,aug,thu,205,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
60,technician,married,17,0,0,0,jul,tue,82,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
34,admin.,married,16,1,0,0,may,wed,95,1,999,1,failure,-1.8,92.893,-46.2,1.27,5099.1,0
43,admin.,married,16,0,0,0,jul,thu,48,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
44,admin.,married,12,1,0,1,may,mon,96,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
29,admin.,single,16,1,0,0,jun,mon,97,4,999,0,nonexistent,-2.9,92.963,-40.8,1.281,5076.2,0
41,technician,married,16,1,1,0,may,fri,170,4,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
23,management,single,16,1,0,0,jul,thu,134,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0
27,blue-collar,single,6,1,1,0,jul,tue,246,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
33,blue-collar,single,9,0,0,1,jun,thu,67,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,housemaid,married,4,1,0,0,aug,thu,248,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,0
26,blue-collar,married,9,1,0,1,jun,wed,71,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
46,entrepreneur,married,16,0,0,1,may,wed,433,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
39,blue-collar,single,9,0,0,0,apr,thu,311,2,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,0
47,technician,married,16,1,0,0,aug,wed,345,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
58,blue-collar,married,4,1,0,0,jul,wed,647,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
46,blue-collar,married,6,1,0,1,may,tue,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
59,technician,married,9,0,0,1,may,fri,135,9,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
32,admin.,single,12,0,0,0,nov,mon,191,2,19,2,failure,-1.1,94.767,-50.8,1.048,4963.6,0
31,technician,married,16,1,0,0,aug,mon,111,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33,blue-collar,single,9,1,0,1,jul,thu,465,7,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
47,admin.,married,16,0,0,1,may,mon,408,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
60,self-employed,married,9,0,0,0,aug,tue,17,13,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
43,admin.,married,16,1,0,0,jul,wed,899,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
55,blue-collar,married,9,1,0,0,jul,mon,71,7,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
24,admin.,married,12,1,0,0,jul,mon,296,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
56,entrepreneur,married,16,0,1,0,jul,tue,41,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
31,unemployed,married,16,0,0,0,aug,wed,95,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
41,blue-collar,married,9,1,0,1,may,tue,420,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
54,technician,married,17,1,0,0,apr,mon,698,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
41,blue-collar,married,17,0,0,1,may,thu,53,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
31,management,single,16,1,0,0,may,thu,165,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
36,entrepreneur,married,16,0,1,0,jul,wed,56,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
24,services,single,12,1,0,0,may,mon,201,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
52,blue-collar,married,4,1,0,1,may,mon,253,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
42,services,married,6,0,0,0,nov,thu,290,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,0
38,technician,single,12,0,0,0,aug,mon,95,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
41,entrepreneur,single,12,0,0,0,jul,thu,71,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
24,technician,single,9,1,0,0,may,mon,111,6,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,0
69,retired,married,9,1,0,0,sep,wed,71,1,5,1,success,-3.4,92.379,-29.8,0.781,5017.5,0
45,self-employed,married,17,1,1,1,jun,mon,330,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
31,technician,married,17,1,0,0,may,tue,80,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,0
31,technician,divorced,12,1,0,0,aug,mon,81,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0
33,admin.,single,16,0,0,1,nov,thu,109,1,999,0,nonexistent,-0.1,93.2,-42,4.245,5195.8,0
47,blue-collar,married,4,1,0,0,apr,mon,311,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
33,technician,married,12,1,0,0,apr,mon,59,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
23,admin.,married,12,0,1,0,may,thu,7,5,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0
34,admin.,single,16,0,0,0,may,fri,101,4,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0
68,retired,divorced,12,1,0,0,oct,mon,130,4,999,2,failure,-1.1,94.601,-49.5,1,4963.6,0
54,admin.,married,16,1,0,0,jul,thu,77,5,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
33,blue-collar,married,9,0,1,0,may,thu,178,7,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
28,admin.,single,12,1,0,0,mar,fri,102,1,999,0,nonexistent,-1.8,92.843,-50,1.531,5099.1,0
46,admin.,married,16,0,0,1,jul,mon,41,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
31,blue-collar,married,9,1,0,1,jun,tue,23,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0
46,blue-collar,married,9,1,0,1,apr,mon,125,3,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,0
40,admin.,divorced,12,0,0,1,jul,wed,96,7,999,0,nonexistent,1.4,93.918,-42.7,4.956,5228.1,0
34,admin.,married,17,0,1,1,mar,thu,364,2,999,1,failure,-1.8,93.369,-34.8,0.654,5008.7,0
36,admin.,single,16,1,1,0,nov,wed,89,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
43,technician,married,17,0,1,0,may,mon,191,2,12,1,success,-1.8,92.893,-46.2,1.244,5099.1,0
57,management,married,17,1,0,0,nov,thu,224,2,999,1,failure,-0.1,93.2,-42,4.076,5195.8,0
46,blue-collar,single,12,0,0,1,jun,fri,310,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
49,admin.,divorced,16,0,0,1,jun,wed,141,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
38,entrepreneur,single,4,1,1,0,apr,mon,7,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
45,admin.,married,12,0,0,1,jun,mon,290,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
47,management,married,16,0,0,0,nov,fri,107,2,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
43,services,married,12,0,0,1,may,mon,207,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
30,technician,single,16,0,0,0,aug,thu,183,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
37,admin.,married,12,1,0,1,jun,fri,21,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
25,blue-collar,married,9,1,0,0,jul,thu,28,12,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,0
23,blue-collar,single,4,1,1,0,may,fri,102,7,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
51,blue-collar,married,9,0,0,0,jul,fri,78,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
35,unemployed,divorced,12,1,0,1,jun,mon,51,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
58,management,married,16,1,0,1,jun,wed,81,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
29,services,divorced,12,1,0,1,may,tue,157,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,0
32,technician,single,16,0,0,0,aug,mon,195,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
58,blue-collar,married,12,1,0,1,may,wed,836,12,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,0
42,housemaid,divorced,4,0,0,0,jul,mon,461,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
58,retired,married,17,0,0,1,jul,tue,44,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
23,admin.,single,17,0,0,0,jul,wed,141,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
30,services,married,12,0,0,1,jun,fri,24,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
51,admin.,married,12,1,0,0,may,fri,514,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0
23,services,single,12,0,0,1,may,wed,107,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,0
33,admin.,single,12,0,0,0,jul,fri,191,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0
40,blue-collar,married,9,1,1,0,may,thu,227,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
42,services,married,17,1,0,0,may,thu,103,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,0
25,blue-collar,single,12,1,0,0,may,wed,262,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0
34,admin.,married,16,1,0,0,aug,mon,89,1,999,0,nonexistent,-2.9,92.201,-31.4,0.821,5076.2,0
24,admin.,single,12,1,1,1,jul,thu,354,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0
42,entrepreneur,single,16,1,0,0,nov,wed,61,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
35,management,married,16,1,0,0,nov,mon,121,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,0
40,admin.,married,16,0,0,0,aug,thu,262,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0
34,admin.,married,17,1,0,0,aug,wed,276,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,0
29,blue-collar,single,17,0,0,1,jun,fri,86,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0
42,technician,married,6,0,0,1,jun,thu,399,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
49,technician,single,12,1,0,1,jul,wed,144,1,999,0,nonexistent,1.4,93.918,-42.7,4.956,5228.1,0
72,retired,married,6,0,0,0,jul,wed,338,1,999,0,nonexistent,-1.7,94.215,-40.3,0.881,4991.6,0
44,blue-collar,married,6,1,0,1,jun,mon,331,6,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0
25,management,married,16,1,0,0,may,thu,200,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0
45,admin.,married,9,1,0,1,may,wed,173,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,0
47,housemaid,divorced,4,1,1,1,nov,wed,475,2,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,0
